Tag,Chromophore,Solvent,X,Y
0,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,C1CCCCC1,0.169690979,0.006685098
1,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,c1ccccc1,0.164626279,0.01109527
2,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCN(CC)CC,0.167469224,0.008560304
3,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,Clc1ccccc1,0.157068433,0.021500657
4,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CC(C)=O,0.141890831,0.062883865
5,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCCO,0.23187865,0.489682324
6,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCC(O)CO,0.158427156,0.543536848
7,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,O,0.269464986,0.6211806
8,CN(C)c1ccc(/C=C/c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1,CCOCC,0.146904001,0.11753885
9,CN(C)c1ccc(/C=C/c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1,C1CCOC1,0.146787315,0.166224876
10,CN(C)c1ccc(/C=C/c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1,CS(C)=O,0.146861111,0.244927187
11,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,C1CCOC1,0.462863867,0.518683752
12,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CC(C)=O,0.465548526,0.50946765
13,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CN(C)C=O,0.47009729,0.505960466
14,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CS(C)=O,0.474919371,0.502544954
15,Cn1c(/C=C/c2ccc(/C=C/c3nc4ccccc4[nH]3)cc2)[n+](C)c2ccccc21,CO,0.425935833,0.526958765
