abs,em,plqy,k,smiles,solvent,solvent_num,tag,tag_name,Molecular_Weight,LogP,TPSA,Avg_Gasteiger_Charge,Double_Bond_Count,Ring_Count,unimol_plus,split
439.0,460.0,0.6930999755859375,33830.0,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CCCCCC,11,8,PAHs,488.6340000000002,7.515600000000006,6.48,-0.041183278,31,6,2.8088813,train
344.0,508.0,0.0199999995529651,,CC(=O)c1ccc2cc(C#Cc3cn([C@H]4C[C@H](O)[C@@H](CO)O4)c4ncnc(N)c34)ccc2c1,CC#N,4,8,PAHs,442.4750000000002,2.4098000000000006,123.49,-0.054583165,22,5,3.4396486,train
,,,66069.10156,CC(C)(C)c1ccc2ccc(C(c3ccccc3)c3ccccc3)c-2cc1,ClCCl,0,13,6n6,350.50500000000005,7.269100000000007,0.0,-0.046712876,22,4,3.7116628,train
374.0,479.0,0.3799999952316284,23442.0,COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,4,10,5p6,300.361,4.676900000000003,26.53,-0.045242483,22,4,3.8738616,test
527.0,552.0,0.54,41020.4,C#CC1=C(C)C2=C(C)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,CC(C)=O,12,5,BODIPY,310.156,3.490240000000004,7.939999999999999,-0.030122759,8,3,3.0252526,train
,,,29300.0,O=c1c(O)ccc(OCc2ccc(Br)cc2)cc1Cc1ccc(Br)cc1,CO,1,15,Benz,476.1640000000001,5.447200000000003,46.53,-0.047017625,20,3,3.9532728,train
,,,12100.0,COc1ccc2c(c1)oc(=O)c1ccccc12,ClC(Cl)Cl,3,2,Coumarin,226.231,2.954800000000001,39.44,-0.038290295,17,3,4.445754,train
391.0,531.0,0.1000000014901161,,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3O)nc2c1,CS(C)=O,7,10,5p6,395.45900000000006,4.246700000000003,85.09,-0.055118714,17,4,3.756094,train
534.0,615.0,0.3100000023841858,,CC1=C(c2ccc[se]2)C(C)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)c(-c3ccc[se]3)c(C)n1[B-]2(F)F,Cc1ccccc1,6,5,BODIPY,624.3040000000002,6.767600000000006,7.939999999999999,,24,6,3.8712852,valid
,,,7.0,Cc1ccc(C(=O)Oc2cccc3c2C(=O)c2cccc(OC(=O)c4ccc(C)cc4)c2C3=O)cc1,ClC(Cl)Cl,3,9,Acridines,476.48400000000026,5.5172400000000055,86.74000000000001,-0.029286208,28,5,4.082027,train
,398.0,0.2599999904632568,,N#Cc1ccc2cc(-c3nn([C@H]4C[C@H](O)[C@@H](CO)O4)c4ncnc(N)c34)ccc2c1,CC#N,4,8,PAHs,402.41400000000016,1.7410799999999995,143.10000000000002,-0.05418358,21,5,4.084996,train
346.0,415.0,0.2199999988079071,26400.0,O=S(=O)([O-])c1ccccc1/C=C/c1ccc(-c2nnc(-c3ccc(/C=C/c4ccccc4S(=O)(=O)[O-])cc3)o2)cc1,C1CCOC1,5,12,5n6,584.6310000000002,5.552600000000006,153.32,-0.079471355,35,5,3.5612364,train
,,,36307.0,COc1ccc2[nH]c3cc(Cl)ccc3c(=NCCCCCCN=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)c2c1,CO,1,9,Acridines,632.1140000000005,3.258500000000001,188.35,-0.067823133,21,3,4.01495,train
,,,30000.0,CCOC(=O)CCc1cc2c(-c3ccccc3C(=O)O)c3cc(OCCOc4cc(C)ccc4N(CC(=O)OCC)CC(=O)OCC)c(N(CC(=O)OCC)CC(=O)OCC)cc3oc-2cc1=O,CCO,2,9,Acridines,940.9959999999996,6.390120000000007,223.95,-0.045994062,34,5,4.1242633,train
402.0,444.0,0.8700000047683716,44000.0,CCn1c2ccccc2c2cc(C3=[O+][B-](F)(F)OC(C)=C3)ccc21,Cc1ccccc1,6,3,Carbazole,327.139,4.841400000000004,25.46,-0.03275146,17,4,3.432558,train
465.0,500.0,0.4250000119209289,39990.0,C[O+]=C1C=CC2=C3O[B-](F)(F)OC(C#Cc4cc5ccccc5c5ccccc45)=C3CCC2=C1,ClCCl,0,8,PAHs,452.2650000000002,6.298700000000004,29.76,-0.038637025,21,6,3.071023,train
424.0,469.0,0.1899999976158142,,CC(C)(C)c1ccc2c(c1)c1cccc3cnc2n31,CO,1,10,5p6,248.329,4.376000000000003,17.3,-0.035901833,18,4,3.5858333,test
,,,93000.0,CCN(CC)c1ccc2c(c1)Oc1cc(N(CC)CC)ccc1C2=C1C=CC(OC)=CC1=[O+]C,ClC(Cl)Cl,3,9,Acridines,459.6100000000002,6.121300000000007,36.24,-0.026481956,16,4,3.165359,train
770.0,,,,CCCCCCn1c(=CC2C(=O)C(=C[N+]3=C(CC)c4ccc(C(=O)O)cc4C3(CCCC)CCCC)C2O)c2cccc3cccc1c32,CCO,2,4,Cyanine,647.8800000000003,8.517200000000006,82.54,-0.029349091,25,6,3.919504,train
,478.0,0.0820000022649765,,COc1cc2[nH]c3c(c2cc1OCC(=O)O)CCCC3=O,O,8,10,5p6,289.28700000000003,2.1589,88.62,-0.054954547,12,3,4.2568154,test
