abs,em,plqy,k,smiles,solvent,solvent_num,tag,tag_name,Molecular_Weight,LogP,TPSA,Avg_Gasteiger_Charge,Double_Bond_Count,Ring_Count,unimol_plus,split
439,460,0.693099976,33830,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CCCCCC,11,8,PAHs,488.634,7.5156,6.48,-0.041183278,31,6,2.8088813,train
344,508,0.02,,CC(=O)c1ccc2cc(C#Cc3cn([C@H]4C[C@H](O)[C@@H](CO)O4)c4ncnc(N)c34)ccc2c1,CC#N,4,8,PAHs,442.475,2.4098,123.49,-0.054583165,22,5,3.4396486,train
374,479,0.379999995,23442,COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,4,10,5p6,300.361,4.6769,26.53,-0.045242483,22,4,3.8738616,test
527,552,0.54,41020.4,C#CC1=C(C)C2=C(C)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,CC(C)=O,12,5,BODIPY,310.156,3.49024,7.94,-0.030122759,8,3,3.0252526,train
391,531,0.100000001,,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3O)nc2c1,CS(C)=O,7,10,5p6,395.459,4.2467,85.09,-0.055118714,17,4,3.756094,train
534,615,0.310000002,,CC1=C(c2ccc[se]2)C(C)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)c(-c3ccc[se]3)c(C)n1[B-]2(F)F,Cc1ccccc1,6,5,BODIPY,624.304,6.7676,7.94,,24,6,3.8712852,valid
346,415,0.219999999,26400,O=S(=O)([O-])c1ccccc1/C=C/c1ccc(-c2nnc(-c3ccc(/C=C/c4ccccc4S(=O)(=O)[O-])cc3)o2)cc1,C1CCOC1,5,12,5n6,584.631,5.5526,153.32,-0.079471355,35,5,3.5612364,train
402,444,0.870000005,44000,CCn1c2ccccc2c2cc(C3=[O+][B-](F)(F)OC(C)=C3)ccc21,Cc1ccccc1,6,3,Carbazole,327.139,4.8414,25.46,-0.03275146,17,4,3.432558,train
465,500,0.425000012,39990,C[O+]=C1C=CC2=C3O[B-](F)(F)OC(C#Cc4cc5ccccc5c5ccccc45)=C3CCC2=C1,ClCCl,0,8,PAHs,452.265,6.2987,29.76,-0.038637025,21,6,3.071023,train
424,469,0.189999998,,CC(C)(C)c1ccc2c(c1)c1cccc3cnc2n31,CO,1,10,5p6,248.329,4.376,17.3,-0.035901833,18,4,3.5858333,test
770,,,,CCCCCCn1c(=CC2C(=O)C(=C[N+]3=C(CC)c4ccc(C(=O)O)cc4C3(CCCC)CCCC)C2O)c2cccc3cccc1c32,CCO,2,4,Cyanine,647.88,8.5172,82.54,-0.029349091,25,6,3.919504,train
485,545,,44000,CCCCN1C(=O)C2=C(c3ccc(-c4ccccc4)cc3)N=C(O)C2=C1c1ccc(-c2ccccc2)cc1,ClCCl,0,4,Cyanine,496.61,7.7554,52.9,-0.044807211,28,6,2.6885762,train
