smiles,solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å)
[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21,C1CCCCC1,324,395,71,,,
[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21,CC#N,323,401,78,,,
[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21,CCO,323,400,77,,,
[BH3-][P+]1(c2ccccc2)c2ccccc2-c2sc3ccccc3c21,C(Cl)Cl,325,400,75,0.38,,
[C-][N+]/C(=C/c1ccc(N(c2ccc(Br)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,C(Cl)(Cl)Cl,423,547,124,0.59,,
[C-][N+]/C(=C/c1ccc(N(c2ccc(-c3cccc(N(C)C)c3)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,C(Cl)(Cl)Cl,428,557,129,0.58,,
[C-][N+]/C(=C/c1ccc(N(c2ccc(-c3cccc(OC)c3)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,C(Cl)(Cl)Cl,428,554,126,0.64,,
[C-][N+]C(=Cc1ccc(N(c2ccc(Br)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,CC1=CC=CC=C1,365,,,,,
[C-][N+]C(=Cc1ccc(N(c2ccc(-c3cccc(N(C)C)c3)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,CC1=CC=CC=C1,360,,,,,
[C-][N+]C(=Cc1ccc(N(c2ccc(-c3cccc(OC)c3)cc2)c2ccc(-c3nc4c(-c5cccc(OC)c5)ccc(-c5cccc(OC)c5)c4[nH]3)cc2)cc1)C(=O)O,CC1=CC=CC=C1,310,,,,,
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,CC(=O)C,327,422,95,0.54,,
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,C(Cl)Cl,336,412,76,0.8,,
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,C1CCCCC1,325,360,35,0.82,,
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,CN(C)C=O,339,433,94,0.86,,
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,CS(=O)C,340,447,107,0.76,,
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,C1COCCO1,330,397,67,0.74,,
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,CCCCCC,323,357,34,0.66,,
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,CC#N,333,429,96,0.89,,
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,C1=CC=NC=C1,340,422,82,0.63,,
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,C1CCOC1,334,408,74,0.85,,
[C-][N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,CC1=CC=CC=C1,329,387,58,0.62,,
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,CCOC(=O)C,315,397,82,0.67,,
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,CC(=O)C,329,407,78,0.52,,
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,C(Cl)Cl,307,390,83,0.75,,
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,C1CCCCC1,302,354,52,0.66,,
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,CN(C)C=O,314,423,109,0.78,,
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,CS(=O)C,318,424,106,0.77,,
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,C1COCCO1,315,383,68,0.79,,
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,CCCCCC,301,353,52,0.76,,
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,CC#N,310,410,100,0.65,,
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,C1CCOC1,319,396,77,0.78,,
[C-][N+]c1ccc(-c2ccc(N)cc2)cc1,CC1=CC=CC=C1,310,371,61,0.68,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,CCOC(=O)C,326,403,77,0.63,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,CC(=O)C,325,427,102,0.55,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,C(Cl)Cl,322,405,83,0.85,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,C(Cl)(Cl)Cl,322,400,78,0.55,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,C1CCCCC1,316,368,52,0.74,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,CN(C)C=O,335,435,100,0.49,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,CS(=O)C,338,436,98,0.72,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,C1COCCO1,326,395,69,0.77,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,CCCCCC,313,366,53,0.49,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,CC#N,324,421,97,0.88,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,CO,327,422,95,0.65,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,C1CCOC1,331,406,75,0.74,,
[C-][N+]c1ccc(-c2ccc(NC)cc2)cc1,CC1=CC=CC=C1,323,388,65,0.59,,
[C-][N+]c1cccc2c(N)cccc12,CC(=O)C,364,479,115,0.5,,
[C-][N+]c1cccc2c(N)cccc12,C(Cl)(Cl)Cl,358,465,107,0.63,,
[C-][N+]c1cccc2c(N)cccc12,CN(C)C=O,369,491,122,0.48,,
[C-][N+]c1cccc2c(N)cccc12,CS(=O)C,372,497,125,0.74,,
[C-][N+]c1cccc2c(N)cccc12,CCOC(=O)C,360,464,104,0.45,,
[C-][N+]c1cccc2c(N)cccc12,CCCCCC,350,409,59,0.55,,
[C-][N+]c1cccc2c(N)cccc12,CC#N,361,483,122,0.38,,
[C-][N+]c1cccc2c(N)cccc12,CO,365,494,129,0.54,,
[C-][N+]c1cccc2c(N)cccc12,C1=CC=NC=C1,368,490,122,0.28,,
[C-][N+]c1cccc2c(N)cccc12,C1CCOC1,365,465,100,0.66,,
[C-][N+]c1cccc2c(N)cccc12,CC1=CC=CC=C1,354,433,79,0.66,,
[Cu],C(Cl)(Cl)Cl,485,,,,,
[H]/[NH+]=c1/ccc2c(-c3cc(C(=O)[O-])ccc3C(=O)[O-])c3ccc(N)c(S(=O)(=O)[O-])c3oc-2c1S(=O)(=O)[O-],O,490,510,20,,,
[H]/[NH+]=c1/ccc2c(-c3ccccc3C(=O)[O-])c3ccc(N)cc3oc-2c1,O,479,520,41,0.88,,
[H]/[NH+]=c1/ccc2cc3ccc(N)cc3n(CCCC(=O)O)c-2c1,O,453,507,54,,,
[H]/[NH+]=c1\ccc2c(-c3ccccc3C(=O)N(C)CCCC(=O)O)c3ccc(N)c(S(=O)(=O)[O-])c3oc-2c1S(=O)(=O)O,O,500,525,25,,,
[H]C=CC1=C(n2ccc(=O)[nH]c2=O)O[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,CO,251,,,,,
[H]CC1=C(n2ccc(=O)[nH]c2=O)O[C@H](CO[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,CO,255,,,,,
[N]=[C]/C(=C\c1ccc(OCc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)cc1)c1ccc(/C2=C3\C=CC(=N3)/C(c3ccc(C(=O)O)cc3)=c3/cc/c4n3[Zn]n3c2ccc3/C(c2ccc(/C([C]=[N])=C/c3ccc(OCc5cc(OCc6ccccc6)cc(OCc6ccccc6)c5)cc3)cc2)=C2/C=CC(=N2)/C=4c2ccc(/C([C]=[N])=C/c3cccc(OCc4cc(OCc5ccccc5)cc(OCc5ccccc5)c4)c3)cc2)cc1,C1CCOC1,600,658,58,,,
[N-]=[N+]=NCc1ccc2c(c1)c1cccc3cnc2n31,CO,423,468,45,0.46,,
[NH-]c1cc(N)cc(-c2nc3ccccc3s2)c1,O,343,484,141,0.002,13002,4.114
[NH2+]=C1C(c2ccc(O)cc2)=CC2=Cc3ccc(-c4ccccc4)n3[B-](F)(F)N12,CCO,515,,,,19420,4.2882
[NH2+]=C1c2cccn2[B-](F)(F)n2cccc21,CO,399,438,39,0.92,,
[NH2+]=C1c2cccn2[B-](F)(F)n2cccc21,CCOC(=O)C,406,444,38,1,,
[NH2+]=c1ccc2c(-c3ccc(-c4ccccc4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,530,570,40,,,
[NH2+]=c1ccc2c(-c3ccc(-c4ccccc4)cc3)c3ccc(O)cc3oc-2c1,O,500,535,35,,,
