smiles,solvent,absorption_max,emission_max,quantum_yield,log(e/L mol-1 cm-1),emi_lifetime(ns),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),source
COC(=O)c1ccn2cc(-c3ccc(OC)cc3)nc2c1,CS(C)=O,355,427,0.39,,,,,,,chemfluor
COC(=O)c1ccn2c(N)c(-c3ccc(OC)cc3)nc2c1,CS(C)=O,426,520,0.43,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3)nc2c1,CS(C)=O,387,528,0.49,,,,,,,chemfluor
COC(=O)c1cccc2nc(-c3ccc(OC)cc3)c(NC3CCCCC3)n12,CS(C)=O,355,627,0.002,,,,,,,chemfluor
COc1ccc(-c2nc3ncccn3c2NC2CCCCC2)cc1,CS(C)=O,365,560,0.009,,,,,,,chemfluor
COc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1,CS(C)=O,355,491,0.46,,,,,,,chemfluor
COc1ccc(-c2nc3ccccn3c2NC2CCCCC2)cc1,CS(C)=O,350,490,0.25,,,,,,,chemfluor
COc1ccc(-c2nc3cc(CO)ccn3c2NC2CCCCC2)cc1,CS(C)=O,341,495,0.29,,,,,,,chemfluor
COc1ccc(-c2nc3cc(Cl)ccn3c2NC2CCCCC2)cc1,CS(C)=O,357,518,0.08,,,,,,,chemfluor
COc1ccc(-c2nc3cc(C#N)ccn3c2NC2CCCCC2)cc1,CS(C)=O,389,525,0.42,,,,,,,chemfluor
CCCCCCc1nc2cc(C(=O)OC)ccn2c1NC1CCCCC1,CS(C)=O,368,516,0.24,,,,,,,chemfluor
CCCCCCCCc1nc2cc(C(=O)OC)ccn2c1NC1CCCCC1,CS(C)=O,368,516,0.24,,,,,,,chemfluor
CCCCCCCCc1nc2cnccn2c1NC1CCCCC1,CS(C)=O,329,485,0.21,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(Br)cc3)nc2c1,CS(C)=O,388,524,0.42,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3cccc(OC)c3)nc2c1,CS(C)=O,384,526,0.51,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(-n4ccnc4)cc3)nc2c1,CS(C)=O,387,529,0.83,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3cccn3C)nc2c1,CS(C)=O,392,530,0.64,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3O)nc2c1,CS(C)=O,391,531,0.1,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(Cl)o3)nc2c1,CS(C)=O,392,532,0.67,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3c[nH]cn3)nc2c1,CS(C)=O,400,532,0.63,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(S(=O)(=O)O)o3)nc2c1,CS(C)=O,393,533,0.31,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(O)cc3O)nc2c1,CS(C)=O,394,534,0.1,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(C)o3)nc2c1,CS(C)=O,398,535,0.71,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(C)o3)[n+](C)c2c1,CS(C)=O,399,568,0.42,,,,,,,chemfluor
Cc1ccc(-c2nc3cnccn3c2NC2CCCCC2)o1,CS(C)=O,368,500,0.46,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccccc3S(=O)(=O)O)nc2c1,CS(C)=O,382,539,0.62,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(/C(C)=C/c3ccccc3)nc2c1,CS(C)=O,392,542,0.51,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccco3)nc2c1,CS(C)=O,413,558,0.37,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,414,559,0.42,,,,,,,chemfluor
COc1ccc(/C=C/c2nc3cnccn3c2NC2CCCCC2)cc1,CS(C)=O,365,514,0.23,,,,,,,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccc(N(C)C)cc3)nc2c1,CS(C)=O,434,573,0.35,,,,,,,chemfluor
CN(C)c1ccc(/C=C/c2nc3cnccn3c2NC2CCCCC2)cc1,CS(C)=O,407,520,0.24,,,,,,,chemfluor
COC(=O)c1ccn2c(Nc3ccc(F)cc3)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,400,528,0.27,,,,,,,chemfluor
COC(=O)c1ccn2c(NCCN3CCOCC3)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,384,542,0.52,,,,,,,chemfluor
COC(=O)c1ccn2c(NC(C)(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,416,554,0.48,,,,,,,chemfluor
COC(=O)c1ccn2c(NCC(=O)OC(C)(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,410,555,0.37,,,,,,,chemfluor
COC(=O)CNc1c(/C=C/c2ccc(OC)cc2)nc2cc(C(=O)OC)ccn12,CS(C)=O,411,556,0.39,,,,,,,chemfluor
COC(=O)c1ccn2c(NCc3ccccc3)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,419,556,0.52,,,,,,,chemfluor
COC(=O)c1ccn2c(NC(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,CS(C)=O,413,558,0.49,,,,,,,chemfluor
CCCN(CCC)C(=O)CNc1c(-c2ccc(C)o2)nc2cc(C(=O)OC)ccn12,CS(C)=O,391,532,0.62,,,,,,,chemfluor
CCCN(CCC)C(=O)CNc1c(/C=C/c2ccc(OC)cc2)nc2cc(C(=O)OC)ccn12,CS(C)=O,413,558,0.49,,,,,,,chemfluor
CCCN(CCC)C(=O)CNc1c(-c2ccc(Cl)cc2)nc2cc(C(=O)OC)ccn12,CS(C)=O,385,524,0.68,,,,,,,chemfluor
CCCN(CCC)C(=O)CNc1c(-c2ccc(C)cc2O)nc2cc(C(=O)OC)ccn12,CS(C)=O,390,530,0.11,,,,,,,chemfluor
CCCN(CCC)C(=O)CNc1c(-c2ccc(Cl)cc2)nc2cc(C#N)ccn12,CS(C)=O,387,520,0.89,,,,,,,chemfluor
N#Cc1ccn2c(N)c(-c3ccc(Cl)cc3)nc2c1,CS(C)=O,430,513,0.55,,,,,,,chemfluor
COC(=O)c1ccnc(N)c1,CS(C)=O,342,424,0.28,,,,,,,chemfluor
COC(=O)c1cccc(N)n1,CS(C)=O,326,411,0.27,,,,,,,chemfluor
Nc1ncccn1,CS(C)=O,296,350,0.005,,,,,,,chemfluor
Nc1cnccn1,CS(C)=O,321,383,0.4,,,,,,,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(OC)c1OC,CS(C)=O,562,585,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,567,595,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccc(-c3ccccc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,564,582,,,,,,,,chemfluor
Cc1cc(/C=C/c2c3ccccc3cc3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,536,545,,,,,,,,chemfluor
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1OCc1ccccc1,CS(C)=O,567,597,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccc(-n3ccnc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,561,578,,,,,,,,chemfluor
Cc1cccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1,CS(C)=O,555,570,,,,,,,,chemfluor
Cc1cc(/C=C/c2cc(F)ccc2F)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,559,569,,,,,,,,chemfluor
Cc1cc(/C=C/c2cccc(Br)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,554,568,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccc(Cl)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,556,570,,,,,,,,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(O)c1O,CS(C)=O,557,572,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccc(C#N)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,561,576,,,,,,,,chemfluor
Cc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(C)c1Oc1ccccc1,CS(C)=O,559,578,,,,,,,,chemfluor
CSc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,565,589,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccc(C(C)C)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,557,573,,,,,,,,chemfluor
Cc1cc(/C=C/c2cccc(Oc3ccccc3)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,555,570,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccco2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,567,585,,,,,,,,chemfluor
Cc1cc(/C=C/c2cccc3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,564,587,,,,,,,,chemfluor
COc1ccccc1/C=C/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,560,579,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccccc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,554,568,,,,,,,,chemfluor
COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(Cl)c1O,CS(C)=O,567,585,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccc(-c3cccs3)s2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,596,649,,,,,,,,chemfluor
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c2ccccc12,CS(C)=O,575,639,,,,,,,,chemfluor
Cc1ccc(O)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1,CS(C)=O,564,585,,,,,,,,chemfluor
Cc1ccc2ccccc2c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,CS(C)=O,546,585,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccc3ccccc3n2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,563,577,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccc(C)c3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,567,596,,,,,,,,chemfluor
Cc1cc(/C=C/c2csc3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,565,586,,,,,,,,chemfluor
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c(Cl)c1O,CS(C)=O,566,589,,,,,,,,chemfluor
Cc1cc(/C=C/c2ccccc2-c2ccccc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O,556,573,,,,,,,,chemfluor
CC(=O)Oc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,CS(C)=O,566,595,,,,,,,,chemfluor
