smiles,peakwavs_max,peakwavs_max
O=[N+]([O-])c1cccc(C=NNC(=Cc2ccc3ccccc3n2)c2ccccc2)c1,425.0,
COc1ccc2c(-c3nc(-c4ccccc4)no3)cc(=O)oc2c1,344.0,
CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccncc3)nc(-c3ccncc3)c2)cc1,334.0,
COc1ccc(C2CC(c3ccc(O)cc3)=NN2c2ccc(S(N)(=O)=O)cc2)cc1,364.0,
CN1C(=CC2=C([O-])C(=CC3=[N+](C)c4ccccc4C3(C)C)C2=C(CN)CN)C(C)(C)c2ccccc21,636.0,
NCc1cccc(N)c1,310.0,
COc1ccc(C(=O)NC(C)(C)C)c2c1ccc1c3ccccc3c3ccccc3c12,334.0,
COC(=O)/C=C/C=C/c1ccc(N(C)C)cc1,375.0,
COc1cc2c(cc1-c1ccc([N+](=O)[O-])cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc([N+](=O)[O-])cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,409.0,
CC(C)(C)c1ccc(/C2=C3\C=CC(=N3)/C(c3ccc(C(C)(C)C)cc3)=c3/cc/c4n3[Zn]n3c2ccc3/C(c2ccc(C(C)(C)C)cc2)=C2\N=C(C=C2/C=C(\CN)C(=O)O)/C=4c2ccc(C(C)(C)C)cc2)cc1,623.0,
CC1=N/C(=C\c2ccccc2N(C)C)C(=O)N1C,395.0,
OCCSc1cccc2[n+]1[B-](F)(F)n1c(c3cccc4cccc1c43)=N2,453.0,
CCN(CC)c1ccc(/C=C/c2sc3ccccc3[n+]2CC(=O)[O-])cc1,533.0,
COC(C)CC1=N/C(=C\c2cccc(N(C)C)c2)C(=O)N1C,355.0,
CCCCCCSC1=C(SCCCCCC)SC(=c2c3ccccc3c(=C3SC(SCCCCCC)=C(SCCCCCC)S3)c3cc(CCc4ccc(/C=C(\CN)C(=O)O)cc4)ccc23)S1,455.0,
CCN(CC)c1ccc(/N=N/c2ccc(OC)cc2)cc1,414.0,
CC(=O)c1ccc2cc(CCc3cn([C@H]4C[C@H](O)[C@@H](CO)O4)c4ncnc(N)c34)ccc2c1,347.0,
NCC(=CC(=C(CN)CN)c1ccc(N(c2ccccc2)c2ccccc2)cc1)CN,600.0,
O=C(ON1C(=O)C=CC1=O)c1ccc(C(=O)O)c(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c1,496.0,
CN(C)c1ccc2c(c1)O/C(=C(/CN)c1cc[n+](CC(F)(F)F)cc1)C=C2C(F)(F)F,597.0,
Nc1cccc2cn[nH]c12,296.0,
Cc1ccc(N2c3ccc(-c4ccc(-c5ccc(C=C(CN)C(=O)O)s5)c5nc(-c6ccc(C)s6)c(-c6ccc(C)s6)nc45)cc3C3CCCC32)cc1,530.0,
COC(=O)c1ccc2ccc3cccc4ccc1c2c34,379.0,
CC1=CC(C)=[N+]2C1=C(c1c(F)c(F)c(NCCCCCCNP(=O)(OC(C)C)OC(C)C)c(F)c1F)c1c(C)cc(C)n1[B-]2(F)F,513.0,
COc1ccc(N(c2ccc(OC)cc2)c2cc3ccc4cc(B(c5c(C)cc(C)cc5C)c5c(C)cc(C)cc5C)cc5ccc(c2)c3c45)cc1,399.0,
CCn1c2ccccc2c2cc(CCc3cc(CCc4ccc5c(c4)c4ccccc4n5CC)nc(OC)n3)ccc21,389.0,
