smiles,peakwavs_max,peakwavs_max
CCC1=C(C)C2=C(c3ccc(NC(=S)Nc4ccccc4)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,526.0,
CCC1=C(C)C2=C(c3ccc(NC(=S)Nc4ccc(C)cc4)cc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,525.0,
c1ccc(-c2nc(-c3ccccc3)c(N(c3ccccc3)c3ccccc3)[se]2)cc1,384.0,
COc1ccc(-c2ccnc3nc(NC(C)=O)ccc23)cc1,327.0,
CCCCCCCCCCCCOc1ccc(/C2=C3\C=CC(=N3)/C(c3ccc(C(=O)O)cc3)=c3/cc/c4n3[Zn]n3c(ccc32)/C(C(=C(CN)CN)C(=C(CN)CN)c2ccc(N(CCCCCCCCCCCC)CCCCCCCCCCCC)cc2)=C2/C=CC(=N2)/C=4c2ccc(OCCCCCCCCCCCC)cc2)cc1,610.0,
CCCCCCc1nc(-c2nc(CCCCCC)c(-c3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)s2)sc1CCc1ccc(/C=C(\CN)C(=O)O)cc1,426.0,
CC1(C)C(/C=C/C=C2/N(Cc3ccc(C(=O)O)cc3)c3ccccc3C2(C)C)=[N+](Cc2ccc(C(=O)O)cc2)c2ccccc21,550.0,
CC1(C)C(/C=C/C=C2/N(Cc3ccc(C(=O)O)cc3)c3ccccc3C2(C)C)=[N+](Cc2ccc(C(=O)O)cc2)c2ccccc21,560.0,
CC1(C)C(/C=C/C=C2/N(Cc3ccc(C(=O)O)cc3)c3ccccc3C2(C)C)=[N+](Cc2ccc(C(=O)O)cc2)c2ccccc21,554.0,
CC1(C)C(/C=C/C=C2/N(Cc3ccc(C(=O)O)cc3)c3ccccc3C2(C)C)=[N+](Cc2ccc(C(=O)O)cc2)c2ccccc21,561.0,
O=C1c2ccccc2C(=O)C1C1C(=O)c2c3ccccc3cc3cc4ccccc4c1c23,506.0,
CCCCCCCCn1nc2c(-c3ccc(N4c5ccccc5C5C6CCC(C6)C54)cc3)c3nc(-c4ccccc4)c(-c4ccccc4)nc3c(-c3ccc(/C=C(\CN)C(=O)O)s3)c2n1,546.0,
CCCCn1c2ccc(/C=C(\CN)C(=O)O)cc2c2cc(-c3ccc(-c4ccc(OC)cc4)s3)ccc21,408.0,
C(S/C=C/c1ccc(-c2ccc(/C=C/SC=C(c3ccccc3)c3ccccc3)cc2)cc1)=C(c1ccccc1)c1ccccc1,365.0,
C(=Cc1ccc(-c2ccc(C=CSC=C(c3ccccc3)c3ccccc3)cc2)cc1)SC=C(c1ccccc1)c1ccccc1,365.0,
CC1=CC(C)=[N+]2C1=C(C)c1ccc(-c3ccc(F)cc3)n1[B-]2(F)F,515.0,
CC1=CC(C)=[N+]2C1=C(C)c1ccc(-c3ccc(F)cc3)n1[B-]2(F)F,507.0,
CC1=CC(C)=[N+]2C1=C(C)c1ccc(-c3ccc(F)cc3)n1[B-]2(F)F,520.0,
CC1=CC(C)=[N+]2C1=C(C)c1ccc(-c3ccc(F)cc3)n1[B-]2(F)F,510.0,
CC1=CC(C)=[N+]2C1=C(C)c1ccc(-c3ccccc3)n1[B-]2(F)F,513.0,
CC1=CC(C)=[N+]2C1=C(C)c1ccc(-c3ccccc3)n1[B-]2(F)F,507.0,
CC1=CC(C)=[N+]2C1=C(C)c1ccc(-c3ccccc3)n1[B-]2(F)F,521.0,
CC1=CC(C)=[N+]2C1=C(C)c1ccc(-c3ccccc3)n1[B-]2(F)F,511.0,
COc1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(C)C=C(C)C2=C3C)cc1,529.0,
COc1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(C)C=C(C)C2=C3C)cc1,520.0,
COc1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(C)C=C(C)C2=C3C)cc1,535.0,
COc1ccc(-c2ccc3n2[B-](F)(F)[N+]2=C(C)C=C(C)C2=C3C)cc1,528.0,
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,396.0,
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,391.0,
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,391.0,
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,395.0,
CC1(C)c2cc(C=O)ccc2-c2ccc(N3CCCC3)cc21,400.0,
CC1(C)c2cc(C=C(CN)C(=O)O)ccc2-c2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)cc21,427.0,
