smiles,solvent,ex (nm)
CC(C)Nc1cc2c(cc1F)c(=O)c1cc(F)c(NC(C)C)cc1n2C,CCO,377.0
O=C1O[B-]2(OC1=O)OC(c1ccc3ccccc3c1)=CC(c1ccc3ccccc3c1)=[O+]2,CC#N,435.0
CN1/C(=C/C=C(/C=C/C2=[N+](C)c3ccccc3C2(C)C)c2cc(F)cc(F)c2)C(C)(C)c2ccccc21,O,631.0
CC1=CC(C)=[N+]2C1=C(c1c(F)c(F)c(NCCCCNP(=O)(OC(C)C)OC(C)C)c(F)c1F)c1c(C)cc(C)n1[B-]2(F)F,C1CCOC1,514.0
c1ccc2c(-n3cnc4ccccc43)cccc2c1,CC1=CC=CC=C1,282.0
[NH2+]=c1ccc2c(-c3ccc(-c4ccccc4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,530.0
CC1=C(I)C(C)=[N+]2C1=C(c1cccc(-c3nnc(C)nn3)c1)c1c(C)c(I)c(C)n1[B-]2(F)F,CC#N,528.0
C1=C(c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc21,C(Cl)Cl,338.0
FC(F)(F)c1cc2n(n1)[B-](c1ccccc1)(c1ccccc1)[n+]1ccc3ccccc3c1-2,C1CCCCC1,379.0
CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc(N)cc3)cc1)c1c(C)cc(C)n1[B-]2(F)F,O,500.0
CCN(CC)c1ccc2c(-c3ccc(C(=O)NCCCCCC(=O)O)cc3S(=O)(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,CCO,560.0
COc1ccc(/N=N/c2c(O)c3ccccc3n(C)c2=O)c(S(=O)(=O)O)c1,CC1=CC=CC=C1,449.0
CC(C)(C)C1=CC(=CC=CC=CC=C2c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3-c3c2cc([N+](=O)[O-])cc3[N+](=O)[O-])C=C(C(C)(C)C)O1,CC1=CC=CC=C1,779.0
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccccc2)=CC(/C=C/c2ccccc2)=[O+]1,CC1=CC=CC=C1,424.0
CCC1=C(C)C2=C(CCCCCCCCCCCCCCCBr)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CCO,519.0
CCC1=C(C)C2=C(CCCOC(C)=O)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,CCO,521.0
CCCCSC1=C(SCCCC)SC(=C(C(=C2SC(SCCCC)=C(SCCCC)S2)c2ccc(-c3ccc(-c4ccc(/C=C(\CN)C(=O)O)cc4)s3)cc2)c2ccc(-c3ccc(-c4ccc(/C=C(\CN)C(=O)O)cc4)s3)cc2)S1,C1CCOC1,436.0
CN(C)c1cc(CN)c(N(C)C)c(CN)c1,CC1=CC=CC=C1,395.0
CC(=O)c1ccn2c3c(c(-c4cccc(N(C)C)c4)c2c1)CN(CCNC(=O)OC(C)(C)C)C3=O,C(Cl)Cl,408.0
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3cc4c(s3)c3scc(C=C(CN)C(=O)O)c3n4CCCCCC)cc2)cc1,C(Cl)Cl,524.0
CCCC1=C(C)C2=Cc3c(C)c(CCC)c(C)n3[B-](F)(F)[N+]2=C1C,C1CCCCC1,532.0
CCC1=C(C)C2=C(C)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C=O,CC#N,496.0
NC/C(=C\c1ccc(-c2cc3sc(-c4ccc5c(c4)N(c4ccccc4)C4C6CCC(C6)C54)cc3s2)s1)C(=O)O,C(Cl)Cl,526.0
COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,C(Cl)Cl,322.0
Cc1c(C)n2c(CN)c(C)c(=O)n2c1=O,CO,375.0
CN(C)c1ccc(/C=C/C=C2\CC/C(=C\C=C\c3ccc(N(C)C)cc3)C2=O)cc1,CS(=O)C,512.0
CCCCCCCN1C(=CC2=C([O-])C(=CC3=[N+](CCCCCCC)c4ccccc4C3(C)C)C2=C(CN)CN)Sc2ccccc21,C(Cl)(Cl)Cl,690.0
CN(C)c1ccc2c(c1)C(C)(C)c1cc3c(cc1=C2)CCC[N+]=3CCCC(=O)O,O,614.0
COc1cc(OC)cc(C2=C3C(C)=C(I)C(/C=C/c4ccsc4)=[N+]3[B-](F)(F)n3c(/C=C/c4ccsc4)c(I)c(C)c32)c1,C1CCOC1,670.0
NCC1=CC(/C=C/c2ccccc2)=CC(CN)=P1(c1ccccc1)c1ccccc1,C(Cl)(Cl)Cl,506.0
O=c1c2ccc3c4ccc5c(=O)n(-c6ccc(O)cc6)c(=O)c6ccc(c7ccc(c(=O)n1-c1ccc(O)cc1)c2c37)c4c56,CN(C)C=O,522.0
CC(C)(C)c1ccc2c(c1)[nH]c1c3[nH]c4cc(C(C)(C)C)ccc4c3c3nsnc3c21,CN(C)C=O,412.0
CN(C)c1ccc(/C=C2\CC/C(=C\c3ccc(CN)cc3)C2=O)cc1,C1=CC=NC=C1,467.0
COc1ccc(C2=C3C(C)=C(I)C(C)=[N+]3[B-](F)(F)n3c(C)c(I)c(C)c32)cc1OC,C(Cl)Cl,534.0
NCc1ccc(-c2ccc(C3=CCC(c4ccccc4)CC3)s2)s1,C1=CC=NC=C1,373.0
COc1ccc(-n2c3ccccc3c3cc(/C=C/C(=C(CN)CN)c4ccccc4)ccc32)cc1,CC1=CC=CC=C1,450.0
