smiles,solvent,ex (nm)
CC1=C(Br)C(/C=C/c2ccc(O)cc2)=[N+]2C1=C(c1ccccc1)c1c(C)c(Br)c(/C=C/c3ccc(O)cc3)n1[B-]2(F)F,C(Cl)Cl,638.0
CCCCCCCCC1(CCCCCCCC)c2cc(C=C(CN)C(=O)O)ccc2-c2ccc(/C=C/c3ccc4c(c3)C(CCCCCCCC)(CCCCCCCC)c3cc(/C=C/c5ccc(N(c6ccccc6)c6ccccc6)cc5)ccc3-4)cc21,C(Cl)Cl,417.0
NCc1c2nc3ccccn3c2nc2nc3ccccn3c12,CN(C)C=O,490.0
Cc1c(-c2nnc(C=Cc3ccccc3)o2)sc2sc(-c3nnc(C=Cc4ccccc4)o3)c(C)c12,CCO,364.0
F[B-]1(F)n2cccc2C(c2ccc[se]2)=C2C=CC=[N+]21,CO,507.0
c1ccc(-c2nc(-c3cccc4ccccc34)n3ccccc23)cc1,CC#N,355.0
CN(C)c1ccc(/C=C/c2ccc(-c3ccc(/C=C/c4ccc(N(C)C)cc4)s3)s2)cc1,CC1=CC=CC=C1,458.0
CCN(CCCN(C)C)c1ccc2c(-c3ccc(-c4ccccc4)cc3)c3ccc(=[NH2+])cc-3oc2c1,O,525.0
c1ccc(-c2nc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)n3ccccc23)cc1,CC#N,350.0
COC(=O)C(C(=O)OC)C1=[N+]2C(=C(c3ccc(NC4CCCCC4)c([N+](=O)[O-])c3)c3cccn3[B-]2(F)F)C=C1,C(Cl)Cl,508.0
CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,CN(C)C=O,517.0
CN(C)c1ccc(/C=C/C=C/C=C/c2ccc(N(C)C)cc2)cc1,C1COCCO1,406.0
CN(C)c1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1,C1CCCCC1,497.0
CC(C)[Si]1(C(C)C)c2cc(C=C(CN)CN)ccc2-c2ccc(N(C)C)cc21,CCO,478.0
CCOC(=O)/C(=C/c1ccc(N2CCOCC2)cc1)n1nnc2ccccc21,CO,372.0
NCc1c(N2CCCCC2)cc(-c2cccc3ccccc23)c2c1-c1ccccc1C2=O,C1CCOC1,390.0
CCn1c2ccccc2c2cc(/C=C/c3cc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)nc(SC)n3)ccc21,CC1=CC=CC=C1,405.0
CN(C)c1ccc(-c2ccc(C=O)cc2)cc1,CC1=CC=CC=C1,368.0
COP(=O)(OC)Oc1ccccc1C1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,C(Cl)Cl,505.0
Cc1ccc2ccc3c(C)ccc4ccc1c2c43,C(Cl)Cl,346.0
CC1=CC(C=Cc2ccc(N3CCCCC3)cc2)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)cc(C)n1[B-]2(F)F,C(Cl)Cl,592.0
COc1cc(Br)cc2cc(-c3cc4cc(Br)cc(OC)c4oc3=O)oc12,CC1=CC=CC=C1,360.0
CC(C)(C)c1ccc(-c2cnc3cccc(-c4ccccc4)n23)cc1,C(Cl)Cl,339.0
CCCCC(CC)CN1c2ccc(-c3ccc4c(c3)c3nc5ccccc5nc3n4CC(CC)CCCC)cc2Sc2cc(-c3ccc(/C=C(\CN)C(=O)O)o3)ccc21,C(Cl)Cl,456.0
Nc1ccc(-c2ccc(N)cc2)cc1,CCOC(=O)C,285.0
COc1cc2c(cc1F)c(=O)c1cc(F)c(OC)cc1n2C(C)C,CCO,383.0
Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2cc3ccc4ccccc4c3c3c2cc(N(C)C)c2ccccc23)c(C)c1,C(Cl)(Cl)Cl,440.0
O=c1c2ccc3c4ccc5c(=O)n(-c6ccncc6)c(=O)c6ccc(c7ccc(c(=O)n1-c1ccncc1)c2c37)c4c56,CO,525.0
Cc1ccc(-c2cc(-c3ccc(N(C)C)cc3)c3c(N)nc(N4CCCC4)c(CN)c3n2)cc1,C(Cl)Cl,414.0
CC1(C)Nc2cc(Cl)ccc2-c2[nH]c3ccccc3c(=O)c21,C1CCOC1,407.0
Cc1cc(C)c(B2c3cc(C(C)(C)C)cc4c5ccccc5c5c6ccccc6c6cc(C(C)(C)C)cc2c6c5c34)c(C)c1,C1CCCCC1,429.0
COC(=O)C(Cc1ccc2oc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)nc2c1)NC(=O)OC(C)(C)C,CC1CCCO1,341.0
COC(=O)c1nc(-c2ccco2)oc1C,C1CCCCC1,276.0
Cn1nc(-c2ccccc2)c2n[nH]nc2/c1=N\c1ccccn1,CC#N,402.0
CC(C)(C)c1cc2ccc3cc(C(C)(C)C)cc4c3c2c(c1)c(=O)n1c4nc2c3ccccc3c3ccccc3c21,C(Cl)(Cl)Cl,368.0
Cc1ccc(C(=O)/C=C2\C(=O)Nc3ccccc32)cc1C,C(Cl)Cl,336.0
c1ccc(Oc2cc3c(-c4ccccc4)c(-c4ccccc4)oc4c3c(c2)c(-c2ccccc2)c2c3ccccc3c(-c3ccccc3)c(-c3ccccc3)[n+]42)cc1,C(Cl)Cl,476.0
