em,smiles,solvent
460.0,CN(C)c1ccc(C#Cc2ccc3ccc4c(C#Cc5ccc(N(C)C)cc5)ccc5ccc2c3c54)cc1,CCCCCC
508.0,CC(=O)c1ccc2cc(C#Cc3cn([C@H]4C[C@H](O)[C@@H](CO)O4)c4ncnc(N)c34)ccc2c1,CC#N
,CC(C)(C)c1ccc2ccc(C(c3ccccc3)c3ccccc3)c-2cc1,ClCCl
552.0,C#CC1=C(C)C2=C(C)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,CC(C)=O
,O=c1c(O)ccc(OCc2ccc(Br)cc2)cc1Cc1ccc(Br)cc1,CO
,COc1ccc2c(c1)oc(=O)c1ccccc12,ClC(Cl)Cl
531.0,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3O)nc2c1,CS(C)=O
,Cc1ccc(C(=O)Oc2cccc3c2C(=O)c2cccc(OC(=O)c4ccc(C)cc4)c2C3=O)cc1,ClC(Cl)Cl
398.0,N#Cc1ccc2cc(-c3nn([C@H]4C[C@H](O)[C@@H](CO)O4)c4ncnc(N)c34)ccc2c1,CC#N
415.0,O=S(=O)([O-])c1ccccc1/C=C/c1ccc(-c2nnc(-c3ccc(/C=C/c4ccccc4S(=O)(=O)[O-])cc3)o2)cc1,C1CCOC1
,COc1ccc2[nH]c3cc(Cl)ccc3c(=NCCCCCCN=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)c2c1,CO
,CCOC(=O)CCc1cc2c(-c3ccccc3C(=O)O)c3cc(OCCOc4cc(C)ccc4N(CC(=O)OCC)CC(=O)OCC)c(N(CC(=O)OCC)CC(=O)OCC)cc3oc-2cc1=O,CCO
444.0,CCn1c2ccccc2c2cc(C3=[O+][B-](F)(F)OC(C)=C3)ccc21,Cc1ccccc1
500.0,C[O+]=C1C=CC2=C3O[B-](F)(F)OC(C#Cc4cc5ccccc5c5ccccc45)=C3CCC2=C1,ClCCl
,CCN(CC)c1ccc2c(c1)Oc1cc(N(CC)CC)ccc1C2=C1C=CC(OC)=CC1=[O+]C,ClC(Cl)Cl
,CCCCCCn1c(=CC2C(=O)C(=C[N+]3=C(CC)c4ccc(C(=O)O)cc4C3(CCCC)CCCC)C2O)c2cccc3cccc1c32,CCO
,CN(C)c1ccc(/C=C/c2ccc(-c3nnc(-c4ccc(-c5cc6ccccc6s5)cc4)o3)cc2)cc1,Cc1ccccc1
545.0,CCCCN1C(=O)C2=C(c3ccc(-c4ccccc4)cc3)N=C(O)C2=C1c1ccc(-c2ccccc2)cc1,ClCCl
517.0,COc1ccc(-c2cc(-c3ccc(C)cc3)nc3c(C#N)c(N4CCCC4)[nH]c(=N)c23)cc1,CC(C)=O
,N#CC(C#N)=C1C=C(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)OC(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)=C1,ClC(Cl)Cl
555.0,F[B-]1(F)n2c(ccc2N2CCCCC2)C(c2c(Cl)cccc2Cl)=C2C=CC=[N+]21,CC#N
,COc1ccc(N(C)c2ccc3c(c2)[Si](C)(C)C2=CC(=[N+](C)c4ccc(OC)cc4)C=CC2=C3c2ccccc2C)cc1,CCO
434.0,Cc1cc(O)c(C(C)C)cc1/N=C/c1ccc(C(F)(F)F)cc1,CN(C)C=O
423.0,Cc1nc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)n1,C1CCOC1
498.0,CSc1sc(C(C)=O)c2nnnc(O)c12,CO
645.0,Cc1ccc(C2=C3C=CC(/C=C/c4ccccc4)=[N+]3[B-](F)(F)n3c(/C=C/c4ccccc4)ccc32)cc1,C1CCOC1
628.0,CC(C)n1nc(C#CC(=O)c2ccc3cc(N(C)C)ccc3c2)c2c(N)ncnc21,O
,COc1cc(O)c(Cc2c(O)cc3c(c2O)[C@H](OC)OC3=O)cc1Cc1c(O)cc(C(=O)O)c(C=O)c1O,CCO
530.0,CC1=[N+]2C(=C(c3c4ccccc4cc4ccccc34)c3ccc(C)n3[B-]2(F)F)C=C1,Cc1ccccc1
