em,smiles,solvent
615.0,CC1=C(c2ccc[se]2)C(C)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)c(-c3ccc[se]3)c(C)n1[B-]2(F)F,Cc1ccccc1
440.0,CCN(CC)c1ccc2ccc(=O)oc2c1,CN(C)C=O
,O=C(O)CC1c2nc(c(-c3ccccc3)c3ccc([nH]3)c(-c3ccccc3)c3nc(c(-c4ccccc4)c4ccc([nH]4)c2-c2ccccc2)C(CC(=O)O)C3CC(=O)O)C1CC(=O)O,CS(C)=O
438.0,CC(C)(C)c1ccc(/C=c2\o/c(=C\c3ccccc3)c3ccccc23)cc1,ClCCl
460.0,C/C(=N\Nc1ccc(C#N)cc1)c1ccccn1,ClC(Cl)Cl
839.0,CC(C)(C)c1cc2ccc3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc4c5nc6cc(C#N)c(C#N)cc6nc5c(c1)c2c34,ClCCl
,O=c1nc(O)c(Cc2cccc(OCc3ccccc3)c2)cn1COC(CO)CBr,CCO
,COC(=O)[C@@]12Oc3cc(C)cc(O)c3C(=O)C1=C(O)CC[C@@H]2O,CCO
,c1ccc(Cc2ccc(-c3cc4ccccc4[nH]3)cc2)cc1,CCO
539.0,CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)SC1=S,CCCCCC
431.0,CC1(C)c2ccccc2N(c2ccc(-c3cccc(C#N)c3)cc2)c2ccccc21,Cc1ccccc1
573.0,Cc1cc(/C=C/c2ccc(S(C)(=O)=O)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,CS(C)=O
,CC1(C)OC(=O)C(=CC=CC=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)C(=O)O1,ClCCl
,Oc1n[nH]c2c1cnc1c2c(-c2ccc(Cl)cc2)nn1-c1ccccc1,CS(C)=O
601.0,CN(C)c1ccc(C2=C3C=C(c4ccc(C#N)cc4)S[C@]34c3ccccc3[C@H]2c2ccccc24)cc1,ClCCl
,O=C(Cc1ccccc1)c1ccc(OCc2ccccc2)c(Cc2ccccc2)c1O,CO
,COc1cc(O)c2c(c1)C(=O)c1c(O)c(C)cc(O)c1C2=O,ClC(Cl)Cl
543.0,CCC1=C(C)C2=C(c3c4ccccc4cc4ccccc34)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,ClC(Cl)Cl
,[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CC(C)CO
